Cell,Offset (a),Coefficient (b),Exponent (c),AI,Type
M01_CN_A1_C02,61.6059431125528,81.094073091215,-19.5964647856575,0.650943396226413,NS
M01_CN_A5_C13,49.7955171635384,5.89641013960658,-88.37858615082,0.983516483516497,NS
M01_CN_A5_C14,137.84423113109,0.000122102791696738,-0.0010549345722697,1.16216216216214,NS
M01_MW_D4_C10,7.05942061860235e-06,119.920091839062,-11.4369416488698,0.447513812154696,NS
M01_MW_D5_C14,83.7157015151479,50.0840064069568,-0.147494050652415,0.999999999999986,NS
M02_JS_D2_C09,84.2859482400286,6.25436493909134e-13,-112.596206873293,1.26576576576575,NS
M02_JS_D3_C08,149.998091420668,23.0462698208881,-0.00100000167460617,1.44791666666663,NS
M02_JS_D5_C03,0.00150663284130196,47.6705079773614,-0.152475202786958,0.634387351778654,NS
M02_JS_D6_C02,0.0812402539791747,102.65036972717,-0.0497563162500207,0.879629629629624,NS
M02_MW_D4_C09,42.5649117335239,24.5094073354741,-18.0626400613107,0.655773420479302,NS
M02_MW_D5_C11,72.1858268419313,29.4823729257773,-4.74486726384903,0.573943661971831,NS
M02_SM_A4_C07,8.61372971717449e-05,107.484753936828,-0.252604317464782,0.631799163179905,NS
M02_SM_A6_C16,0.00156343559248835,169.69541973453,-0.0774640713799852,0.868217054263565,NS
M03_JS_A1_C01,33.5190589975189,19.1169886430078,-16.2825910322603,0.700361010830322,NS
M03_JS_A1_C03,4.14901216349379,125.342336337515,-0.0222237124037527,0.845679012345682,NS
M03_JS_A1_C04,54.6587960303481,0.000185632324815577,-0.00574205658122209,1.01329787234042,NS
M03_JS_A1_C06,49.0216042429576,43.9133435251034,-4.74134915913103,0.424311926605503,NS
M03_MW_A1_C02,78.1752341993846,12.0893596692547,-42.2586959672568,0.9324894514768,NS
M03_MW_A1_C07,130.409525739777,0.00048284844900416,-0.00189421886997038,0.986394557823101,NS
M04_JS_A1_C05,0.978894692657421,40.1520667551277,-4.37919193285312,0.0275143498876966,NS
M05_JS_A1_C06,1.50517600716377e-05,103.454187877837,-0.686090139755847,0.722433460076051,NS
M05_MW_A1_C04,0.000149045575096551,127.861956382524,-0.119778936024123,0.785310734463276,NS
M06_SM_A1_C12,1.73456352755643e-07,134.947166935425,-8.04976224924704,0.576923076923073,NS
M08_JS_A1_C01,56.3360934708536,8.7950632550461,-2.93512046161273,0.798850574712651,NS
M08_JS_A1_C03,46.8226174967645,57.6992376943054,-6.36462494949281,0.385650224215244,NS
M08_JS_A1_C14,66.058045260967,9.97188328024007,-1.25291251150265,0.890510948905106,NS
M08_SM_A1_C03,0.000199239125524378,111.430427543103,-0.0867040318354518,0.866028708133984,NS
M10_JS_A1_C09,76.4236594386423,9.13217580959122,-76.2534795040116,0.903100775193793,NS
M10_JS_A1_C13,NaN,NaN,NaN,NaN,NS
M10_JS_A1_C15,27.8449921213009,27.7817519186207,-3.43190783951276,0.421813403416558,NS
M10_JS_A1_C19,0.223337825348495,64.9451455233331,-0.0633773808235088,0.841176470588245,NS
M10_JS_A1_C22,55.9869407799092,78.2194129480618,-51.3265019896724,0.362980769230764,NS
M10_JS_A1_C26,40.3034103818119,28.3700227410009,-18.0449080127019,0.537892791127544,NS
M10_SA_A1_C07,69.972383733455,14.7859428256185,-1.50288595874209,0.79197080291972,NS
M10_SA_A1_C08,85.7731546679923,9.34107755822683,-103.32944654022,0.886554621848733,NS
M01_CN_A4_C10,58.4663972952378,3.31545079924215,-4.43036415590119,0.909090909090907,BS
M01_CN_A4_C12,65.8761280479349,2.3756150281054e-06,-0.000597089860553319,0.934210526315796,BS
M01_JS_A4_C11,27.6971856648095,53.2980907814313,-22.7449012676135,0.255319148936171,BS
M01_JS_B1_C14,1.27377872122638e-09,61.5908498919841,-6.74363495565076,0.507886435331231,BS
M01_JS_B2_C17,91.1878575958179,18.516669564654,-79.5823325123265,0.812499999999993,BS
M01_MW_D2_C03,122.265815204776,15.0853282897274,-119.345835966997,0.890243902439023,BS
M01_MW_D2_C05,NaN,NaN,NaN,NaN,BS
M01_SM_A5_C12,NaN,NaN,NaN,NaN,BS
M01_SM_A7_C17,7.2476297991105,62.4332420377248,-4.35406328099382,0.139931740614334,BS
