VGS BS,VGS NS
-8.7262555738542,-8.32076585740058
-2.27059233001167,-8.6587475722065
-2.42914225970242,-5.71618909511409
-3.00483311832563,-12.1511803605382
-1.30356532445997,-15.8575195575334
-7.36589903535015,-1.17088374164938
-7.98621886447566,-18.1221030978302
-2.43928945412966,-7.12913396248283
-4.57955010209388,-4.82448684193572
-5.31899246090571,-9.02549454234262
-6.08967659119699,-8.10423384642885
-2.94557456469096,-6.33779502256545
-28.358857842787,-9.4060774922953
-1.89635548177026,-8.67617610406433
-2.26920950213744,-8.46261568176996
-2.18153611274969,-16.392745856027
-6.81785210587185,-31.6395148693787
-1.02737008797181,-10.3034241671076
-0.810811413076907,-3.13744657600491
-2.98012696193641,-31.6395336090333
-1.49280422936429,-8.24322423044978
-1.40574627943746,-6.61647976195589
-1.16290754009683,-4.08958300054964
-1.24976172631333,-5.77532881421001
-3.88718683772035,-13.1814355826244
-2.15328622568357,-31.6395204211595
-4.95360450606347,-4.57243455441817
-2.63308345407722,-11.0253395229019
-4.32165136935105,-14.6169779552234
-8.24986446637881,-31.639532920098
-0.702883777681884,-13.3642353654756
-4.51395579183127,-13.7859294405717
-4.9628645729628,-14.6316301405068
-1.44433516531162,-11.1735598582137
-1.8577984642759,-5.48972799259732
-11.3653787274253,-19.0994309767777
-1.20295379410787,-13.8646291897625
-10.2982361984199,-13.196313990888
-1.83826815973619,-25.1920790281694
-1.06716601411173,-31.6395309331813
-1.49643214618069,-12.3384181297753
-3.24523945935328,-31.6395329162517
-2.30314172116817,-14.7086693128039
-2.57938118893539,-8.8623592723145
-1.96374343308239,-6.60286555951548
-5.33667390980271,-10.8775551319078
-3.75999279314775,-31.639530977534
-4.23038938270733,-10.0385435606178
-2.49000748076537,-10.9601794477085
-1.6163867963152,-7.80048081563904
-3.74408071180996,-10.7296933007888
-5.03760407053823,-10.4564799631022
-7.8961716745941,-10.2886751986846
-1.12655767803984,-15.8008838455638
-2.192887523345,-18.5285033110534
-2.02921316218554,-13.6357031590311
-3.88174691002933,-13.5853925854285
-4.87639783027432,-14.7275191740695
-3.82339950903796,-31.6395329120328
-7.90827369308551,-9.64388167819291
-1.28143473133442,-22.0730715432277
-4.40645360550902,-4.8579523731365
-2.78811121409597,-8.97601640135678
-3.36959707144712,-15.3296334283822
-1.57500888331319,-23.4013669773934
-5.68252032636078,-10.72469336425
-4.03232196905607,-10.3478589199654
-5.58589027336987,-5.11205796334529
-11.0482788083938,-7.01846404516055
-2.74634999681215,-13.5050606040421
