Cell,Offset (a),Coefficient (b),Exponent (c),AI,Type
M01_CN_A1_C02,NaN,NaN,NaN,NaN,NS
M01_CN_A5_C13,38.1696193081912,2.81788101949268,-65.6421725931596,0.975708502024294,NS
M01_CN_A5_C14,124.629972598868,0.00312712385521388,-0.486859478897931,1.16,NS
M01_MW_D4_C10,87.5204706958351,27.5673104397658,-72.7970499636445,0.838095238095234,NS
M01_MW_D5_C14,0.0419534540667821,108.8608298711,-0.0986309637140775,0.919999999999988,NS
M02_JS_D2_C09,75.9522761089879,0.204100042304263,-122.159884149933,1,NS
M02_JS_D3_C08,149.999999999863,5.21975614012663e-07,-188.330560341354,1.6,NS
M02_JS_D5_C03,26.4184373196599,6.4893925909902,-25.2392905557473,0.803170409511232,NS
M02_JS_D6_C02,77.9423304166261,9.51652745107632,-0.259793495325591,1.05381165919283,NS
M02_MW_D4_C09,26.1726628569375,20.7138628574383,-13.7403537595458,0.434689507494647,NS
M02_MW_D5_C11,47.9947289079593,27.0836570895761,-3.48245599658716,0.453724604966142,NS
M02_SM_A4_C07,76.7250400374049,33.3689818964967,-117.043562640997,0.655913978494627,NS
M02_SM_A6_C16,0.218513815376829,146.489840859015,-0.0526889223641628,0.761290322580655,NS
M03_JS_A1_C01,27.2563000733953,9.3674972939536,-58.4834269354508,0.776183644189385,NS
M03_JS_A1_C03,15.059144390928,93.8120639504207,-0.0165269524322504,1,NS
M03_JS_A1_C04,0.000167088903925112,39.7658307816117,-0.105289889882782,1.10350584307178,NS
M03_JS_A1_C06,29.0035420468905,34.8426456604304,-4.89155204438377,0.345663265306125,NS
M03_MW_A1_C02,59.8138032087546,9.32705507002787,-85.5619900121413,0.935275080906149,NS
M03_MW_A1_C07,115.730975775509,6.65953666820415,-194.107093594452,0.920903954802256,NS
M04_JS_A1_C05,19.6284596168749,14.9181011024251,-54.7396566705365,0.589795918367346,NS
M05_JS_A1_C06,4.63386945920942e-06,86.0896747782592,-0.945367204491542,0.619834710743797,NS
M05_MW_A1_C04,99.2473681628514,31.3048901178263,-27.1246179779522,0.68837209302325,NS
M06_SM_A1_C12,60.3296806501423,32.2691896431851,-34.3192002999212,0.810218978102193,NS
M08_JS_A1_C01,2.37463909917978e-05,49.4710019307456,-0.31581459350888,0.83367983367983,NS
M08_JS_A1_C03,25.0599863190782,54.8190928082546,-6.75585592907661,0.190041493775933,NS
M08_JS_A1_C14,56.8874590864825,6.38020824692898,-2.92232608593612,0.876790830945566,NS
M08_SM_A1_C03,0.026971803289031,94.186949380806,-0.0884114111627451,0.870292887029293,NS
M10_JS_A1_C09,50.1847093853834,4.53968670784028,-88.1323561151973,0.957333333333332,NS
M10_JS_A1_C13,0.0427212735722629,80.6633970583493,-0.101483143027774,0.930313588850167,NS
M10_JS_A1_C15,13.1810348905183,16.8261367962504,-3.32097248362083,0.453216374269006,NS
M10_JS_A1_C19,0.000517845204858086,55.7760821632476,-0.0937161301861972,0.880597014925375,NS
M10_JS_A1_C22,37.2322792266862,78.2972594277441,-59.8254484698802,0.311594202898552,NS
M10_JS_A1_C26,26.8993252802297,21.6681241044351,-7.73015068503193,0.48913043478261,NS
M10_SA_A1_C07,NaN,NaN,NaN,NaN,NS
M10_SA_A1_C08,58.2778597548715,4.05263418581655,-24.161446165391,0.924637681159422,NS
M01_CN_A4_C10,47.4369630520367,4.97073406802368,-9.90072310825171,0.890476190476191,BS
M01_CN_A4_C12,52.1499743858046,3.88069061283554,-1.60270636343743,0.921465968586385,BS
M01_JS_A4_C11,21.9270748930701,32.0457930890928,-17.0480118354349,0.355029585798817,BS
M01_JS_B1_C14,NaN,NaN,NaN,NaN,BS
M01_JS_B2_C17,79.5028765770726,3.85465644230738e-06,-1.41162161085284e-07,1.06504065040651,BS
M01_MW_D2_C03,4.98979125627426e-08,87.0311145177424,-11.0664146354741,0.545454545454543,BS
M01_MW_D2_C05,NaN,NaN,NaN,NaN,BS
M01_SM_A5_C12,31.2462905610739,14.237025309173,-8.93704529134733,0.888888888888892,BS
M01_SM_A7_C17,28.8101221907677,22.4368664392966,-81.1264523299722,0.933014354066997,BS
M02_JS_D1_C11,14.3940139150328,125.413487031364,-54.2674800157894,0.0860084797092669,BS
M02_JS_D3_C07,34.1366393282506,51.6693197511447,-103.714933701736,0.317871759890861,BS
M02_JS_D4_C06,13.2793009792095,107.826097207903,-53.8004958622086,0.0923852183650614,BS
M02_MW_D3_C06,14.7875716917616,10.5130225024198,-5.39160570892992,0.55711127487104,BS
M02_MW_D6_C12,13.3379313082992,7.13410211167568,-8.5314896233365,0.627030539311241,BS
M02_MW_D6_C13,12.8065797364823,7.54673868568047,-7.23466811587955,0.588704726826273,BS
M02_SM_A5_C12,19.5852174138844,17.4142297613364,-3.86623386220378,0.536138079827402,BS
M03_JS_A1_C05,57.0443709900427,15.9928578592146,-115.895728980026,0.814925373134335,BS
M03_JS_A1_C18,20.591531076884,16.0193604481929,-17.0179188744872,0.526621490803485,BS
M03_JS_A1_C19,22.9273991284663,16.7041225106644,-0.0863303995653836,3.86345381526105,BS
M03_JS_A1_C20,21.9831715998059,16.9015512664181,-14.1444453921158,0.503553299492387,BS
M03_MW_A1_C03,10.1956871085583,62.2288101439947,-36.1058278385093,0.119532265049804,BS
M03_MW_A1_C06,12.9514537869222,17.4106361584481,-11.0996160433527,0.368119266055046,BS
M03_MW_A1_C08,11.4087493772242,28.9491746303663,-19.1461280396882,0.20064856100527,BS
M03_MW_A1_C11,10.5059122074181,11.1130737073392,-13.4953192572978,0.43465909090909,BS
M03_MW_A1_C16,12.4649762125816,9.57862041123196,-34.9607658308802,0.505022321428572,BS
M04_JS_A1_C02,NaN,NaN,NaN,NaN,BS
M04_JS_A1_C04,NaN,NaN,NaN,NaN,BS
M04_JS_A1_C08,6.57140438685678e-12,31.9505870218255,-2.61116130101284,0.0486598596043396,BS
M04_JS_A1_C12,14.8678535893222,9.9749958746382,-21.5081653061094,0.602831594634872,BS
M04_JS_A1_C13,9.6410057041774,15.3595036976012,-9.46730374132937,0.484848484848484,BS
M04_JS_A1_C14,15.458935150856,3.74881895798425,-16.3200363527546,0.766348273328432,BS
M04_JS_A1_C15,8.9402983779222,15.870344880386,-2.53990913798991,0.397478070175439,BS
M04_MW_A1_C08,14.3426406846215,8.84280986055757,-13.1780136975614,0.62892622352082,BS
M04_MW_A1_C09,9.25720547206462,20.901276303796,-15.0268708235858,0.274247491638796,BS
M04_SM_A1_C12,31.9075488805248,51.0559432837788,-0.647685825947212,0.573002754820938,BS
M05_JS_A1_C01,NaN,NaN,NaN,NaN,BS
M05_JS_A1_C02,37.6193221171026,20.218931549461,-6.0435641883606,0.608778625954195,BS
M05_JS_A1_C03,12.5663354455428,12.9345717123141,-9.29774961133722,0.494603174603175,BS
M05_JS_A1_C05,22.4298464342114,33.828230112207,-6.20359759067916,0.389595375722541,BS
M05_JS_A1_C11,0.0753492219471237,40.4883746176354,-0.0692981215494888,0.941580756013748,BS
M05_SM_A1_C02,0.0537614897480441,23.9729509481627,-3.02218556329567,0.0732484076433122,BS
M06_MW_A1_C01,14.2443707066649,11.8927253816463,-7.91817911611864,0.499669530733643,BS
M06_SM_A1_C01,NaN,NaN,NaN,NaN,BS
M06_SM_A1_C09,39.8888034832451,17.3275986798047,-8.33953208733677,0.65217391304348,BS
M08_JS_A1_C04,64.5694261546615,24.4494304826468,-55.2024220069324,0.786206896551724,BS
M08_MW_A1_C02,12.314020109495,23.4848921593088,-27.9973755762622,0.306593406593406,BS
M08_MW_A1_C03,21.3513333270992,15.1645110370606,-11.5488212143952,0.54384236453202,BS
M08_MW_A1_C06,3.95106160604439,12.7478254363427,-2.75990566180986,0.216977611940299,BS
M08_SM_A1_C04,NaN,NaN,NaN,NaN,BS
M08_SM_A1_C09,14.9643034542312,11.2568006015301,-19.5958951580362,0.582761250953472,BS
M10_JS_A1_C02,26.6706611879543,9.36230201554556,-52.9424645535003,0.819117647058824,BS
M10_JS_A1_C03,3.278907006166e-05,35.4036358143287,-0.0295716380625422,0.907872696817423,BS
M10_JS_A1_C04,20.6693551493006,12.6101986083447,-1.84663369104587,0.750301568154404,BS
M10_JS_A1_C05,NaN,NaN,NaN,NaN,BS
M10_JS_A1_C08,16.3540066866592,53.764527846443,-34.4556540678484,0.215641609719058,BS
M10_JS_A1_C14,11.5764662939736,41.7139085444183,-29.3773827599949,0.206157229246839,BS
M10_JS_A1_C23,NaN,NaN,NaN,NaN,BS
M10_JS_A1_C27,2.00892571399129e-06,31.6291621677114,-0.843750071287077,0.764130434782608,BS
M10_MJ_A1_C03,7.9612651983077,13.6993797341626,-6.73640138559685,0.486556359875905,BS
M10_MJ_A1_C06,40.0673089072678,17.7725798169901,-2.45164009523018,0.714285714285714,BS
M10_SA_A1_C03,2.41860593660683,36.6083161735554,-2.21869722438543,0.724137931034483,BS
