T20170330_VChan023_2,T20170408_DChan021_5,T20170408_DChan058_2,B20171109_VChan071_2,B20171109_DChan012_3,B20171109_DChan022_2,B20171109_DChan040_3,B20171109_DChan042_2
0,0,0,0,0,0,0,0
15.2542372881356,13.5964912280702,4.80769230769231,23.3333333333333,7.77777777777778,2.24719101123596,3.40909090909091,6.09756097560976
15.819209039548,13.1578947368421,7.21153846153846,18.8888888888889,14.4444444444444,1.12359550561798,2.27272727272727,6.09756097560976
11.864406779661,11.8421052631579,8.17307692307692,25.5555555555556,15.5555555555556,4.49438202247191,5.68181818181818,6.09756097560976
15.819209039548,16.2280701754386,6.73076923076923,26.6666666666667,4.44444444444444,3.37078651685393,3.40909090909091,6.09756097560976
9.03954802259887,14.9122807017544,7.21153846153846,10,13.3333333333333,4.49438202247191,6.81818181818182,1.21951219512195
15.819209039548,12.719298245614,7.21153846153846,23.3333333333333,8.88888888888889,1.12359550561798,3.40909090909091,10.9756097560976
15.819209039548,15.7894736842105,10.5769230769231,21.1111111111111,11.1111111111111,3.37078651685393,1.13636363636364,6.09756097560976
12.4293785310734,10.9649122807018,4.32692307692308,31.1111111111111,7.77777777777778,3.37078651685393,3.40909090909091,8.53658536585366
15.819209039548,17.5438596491228,3.36538461538462,22.2222222222222,6.66666666666667,5.61797752808989,4.54545454545455,7.31707317073171
14.6892655367232,15.3508771929825,5.76923076923077,27.7777777777778,10,3.37078651685393,3.40909090909091,9.75609756097561
12.9943502824859,11.8421052631579,4.32692307692308,24.4444444444444,5.55555555555556,7.86516853932584,3.40909090909091,1.21951219512195
19.2090395480226,11.8421052631579,8.17307692307692,23.3333333333333,12.2222222222222,3.37078651685393,4.54545454545455,6.09756097560976
15.819209039548,14.4736842105263,3.36538461538462,22.2222222222222,11.1111111111111,4.49438202247191,6.81818181818182,6.09756097560976
12.9943502824859,13.5964912280702,5.28846153846154,28.8888888888889,16.6666666666667,3.37078651685393,4.54545454545455,4.8780487804878
12.9943502824859,10.5263157894737,5.76923076923077,22.2222222222222,15.5555555555556,5.61797752808989,0,4.8780487804878
