offset_step,offset_VGS,offset_VGS_I
56.756295699194816,7.432983273557173,5.4195063923265145
54.62375907707461,0.0,4.843654849401081
56.98911678701628,6.317818485885503,5.271114736058517
21.310732632826742,13.478046514279546,6.259656263760628
58.859866404555405,5.559126066051147,5.877998747826823
62.32280365774506,0.0,6.001887122529188
55.65946655054713,3.9127053190180066,4.50199350283783
50.3424944720367,11.556387346628405,5.590476865905067
55.40915355987763,1.5981650465449009,4.141668183957886
55.472759003262134,0.05042748337427658,2.9782663335648025
58.68083441579871,3.9232155236053114,5.735630602108637
-17.44528184772594,8.761799999099049,6.421455678647419
56.54967367934148,6.939812598860915,5.4092329796784835
-140.72623404910684,14.665587966938137,6.333430305993379
26.400593281102925,12.546969115420449,6.210661449953288
55.36052251531971,0.5811587060947992,3.1230401552110636
57.41714975522609,8.70006347000262,5.564273628433762
62.561705806838745,0.0,6.3879322532528
56.44061281745563,6.6007782046673364,5.398141703451039
56.03044888926201,0.0,4.441918601849735
55.70422128393988,3.235870767266169,4.711098472096101
55.88233514541076,5.642962438716405,4.7350165080905535
52.13230043741162,8.735510180220455,5.1511353063439715
55.32209457664548,2.1457839451285823,3.390218158456071
55.568976766348676,0.0,3.0541951294416236
18.137304200047268,13.966909643299498,6.377594845980399
57.51341607721725,6.635331863681492,5.532220333488748
20.2230207909271,13.118973100180863,6.257694238068517
55.50389226138937,0.0,3.11360270741364
19.678435087724175,13.655500643932024,6.306697693936221
56.586360601069984,0.0,5.383642573091261
55.3220699437563,2.4991199313372854,3.489716620299816
55.63463291055087,5.9600747290309855,4.4721870305875155
