τ_step,τ_VGS
1.1850769115835071,2.8198807643670185
3.3121233134497223,2.418810637859479
1.138163242363523,2.5948789281488613
3.9942835464377247,2.7532686433758533
0.9152791655175655,2.6160688016883795
0.7245696423048535,2.842272152482387
1.5977411807676576,2.2345510227161993
3.5758244261281,2.563447041484867
1.8617807806453301,2.1468759100796495
2.458100995620299,2.212480861501816
0.931710433972405,2.648595535618541
4.241764516395352,2.7294807957865177
1.2332625942198028,2.3376253382353065
4.59958697070404,2.530769699468864
3.9543635980338383,2.725369381279022
2.3105515317061145,2.22552400341424
1.0685618664746561,2.4726189392831635
0.7122444643077276,2.5899842684481986
1.261467405550309,2.26359390367064
3.024534373006025,2.447082344015203
1.566773173961759,2.621018961600413
1.4644756151190637,2.4297429119554637
3.497226803770186,2.565687313322274
2.1703203406869167,2.137354590801485
2.5342616383111425,2.3256992240649454
4.0230321281630115,2.585209997875431
1.0546207952111304,2.4344644065605436
4.003721086878643,2.6253993760359564
2.4787193043870452,2.3339254796008473
4.01220221224363,2.7428483012928613
1.2228088230169436,2.4726980628521
2.1118340565080818,2.352292269514045
1.6168850583329344,2.3275097905970528
