AI_step,AI_VGS
0.6606129398410853,0.0
0.8120989917506983,0.12168467824692165
0.680341880341882,0.3041154610570052
0.9324894514767919,0.0
0.8075338434373156,0.2793589745571369
0.9276807980049903,0.0
0.5525876460767942,0.2885046318802093
0.8804780876494059,0.0878310835118931
0.5215946843853837,0.22589715142306865
0.5140401146131799,0.0829384444611223
0.7981220657277008,0.28473215386043477
0.9453961456102652,0.0
0.6425339366515898,0.4208011582304871
0.9556756756756761,0.21616831457827543
0.929547844374344,0.020258380573475884
0.5036252091466863,0.1044330213501117
0.7146957520091913,0.4018030150042147
0.9318323952470292,0.30315911948795954
0.632054176072234,0.37503193083477526
0.7022961203483828,0.018613644280990126
0.5573496659242754,0.11450039287769474
0.5759776536312894,0.3049665150854514
0.8624390243902442,0.04037504042140167
0.5038716814159312,0.14761415259767227
0.5274012964054208,0.04509079023324655
0.9344608879492569,0.17985636880696465
0.7220943613348733,0.4088707399761131
0.9324894514767919,0.09874705512685325
0.5176198729058368,0.052282172911665974
0.9344608879492569,0.0
0.6451612903225858,0.375482243225592
0.5066371681415955,0.09181772727365857
0.5498052309404561,0.2565319414301264
